"customer_id","first_name","last_name","list_price"
3451,Ruprecht,Loreit,12.01
3430,Augustus,Pickin,12.01
3429,Alla,Hirtzmann,12.01
3396,Arin,Nappin,12.01
3352,Fredek,Lobley,12.01
3334,Koralle,Winckles,12.01
3326,Wes,Crotch,12.01
3293,Peg,Woodstock,12.01
3290,Brandyn,Gain,12.01
3275,Lela,Carrell,12.01
3262,Maynord,L'Episcopi,12.01
3244,Rosene,Bullar,12.01
3233,Xever,Feeley,12.01
3231,Cazzie,Gravell,12.01
3226,Andi,Whittet,12.01
3207,Anica,Halfhyde,12.01
3196,Teddi,Adcocks,12.01
3193,Augusta,Henryson,12.01
3191,Bobbette,Amps,12.01
3165,Vyky,Coppen,12.01
3150,Morissa,Wolfendell,12.01
3116,Correy,Loynes,12.01
3115,Rip,Spiers,12.01
3110,Fabien,Iacapucci,12.01
3088,Hilarius,Trenbey,12.01
3085,Kaleb,Eslemont,12.01
3078,Mariel,Blacksell,12.01
3021,Parker,Lukacs,12.01
3020,Witty,McArthur,12.01
3009,Hephzibah,Cliffe,12.01
2999,Rinaldo,Diggin,12.01
2995,Garvin,Cunradi,12.01
2990,Brice,Martinuzzi,12.01
2956,Thedric,Bolding,12.01
2921,Astrid,Mac Giolla Pheadair,12.01
2912,Tobit,"",12.01
2898,Tiertza,Hilldrop,12.01
2871,Hubie,Keld,12.01
2823,Weidar,Antognazzi,12.01
2811,Sharia,Allkins,12.01
2759,Melodee,Hendrik,12.01
2753,Bale,Ney,12.01
2728,Imojean,Atyeo,12.01
2682,Annamarie,Bouzan,12.01
2668,Allan,Govan,12.01
2604,Lewiss,Jaeggi,12.01
2584,Sharia,"",12.01
2570,Hirsch,Peele,12.01
2560,Sherm,Tythe,12.01
2559,Fulvia,Bernini,12.01
2501,Ora,Meaddowcroft,12.01
2479,Helge,Voller,12.01
2478,Andreas,Lamke,12.01
2476,Hal,Braddon,12.01
2438,Lorianne,Ethersey,12.01
2434,Lenci,Soars,12.01
2389,Sibyl,Gudge,12.01
2383,Zaria,Eberz,12.01
2374,Dolf,Baudichon,12.01
2354,Tammie,Fisbey,12.01
2288,Cirillo,Hook,12.01
2254,Ann,Beek,12.01
2248,Helsa,Grandisson,12.01
2234,Dylan,Hanvey,12.01
2195,Nevsa,Taill,12.01
2189,Thedric,"",12.01
2167,Laina,Semorad,12.01
2166,Mareah,Woodnutt,12.01
2159,Godfrey,Bottini,12.01
2155,Fayth,Millions,12.01
2137,Renie,"",12.01
2095,Anette,Guerreiro,12.01
2084,Britni,Menguy,12.01
2083,Karee,Ortler,12.01
2037,Irwin,Ryall,12.01
2029,Charlie,Hastilow,12.01
2027,Whitney,Dahle,12.01
1958,Janina,Keme,12.01
1951,Rockie,MacCosty,12.01
1946,Brannon,Gladman,12.01
1942,Abe,Townby,12.01
1913,Tamiko,Fergie,12.01
1912,Hall,Grouer,12.01
1907,Lind,Dredge,12.01
1892,Allyson,Pinsent,12.01
1839,Faythe,Rance,12.01
1828,Leigha,Bacchus,12.01
1803,Clarinda,Edlyn,12.01
1752,Diane,Busk,12.01
1745,Leigha,Clawson,12.01
1723,Atalanta,Stoeck,12.01
1691,Tomlin,"",12.01
1690,Torey,Kensall,12.01
1687,Chance,Maben,12.01
1686,Fremont,Trundle,12.01
1677,Petrina,Pollins,12.01
1674,Rahal,Woodman,12.01
1641,Vasily,Sturgeon,12.01
1624,Hakim,Burnhard,12.01
1614,Currie,Gimber,12.01
1599,Ozzy,Silver,12.01
1593,Tommy,Kupisz,12.01
1555,Marcello,Spenclay,12.01
